14,23,3,41
38,49,43,45
45,6,30,3
24,26,26,16
18,29,36,40
42,31,39,46
10,17,5,47
44,15,6,17
18,15,9,0
34,43,15,48
42,49,15,41
8,37,11,27
33,17,24,38
43,4,13,20
36,29,0,14
40,50,5,10
2,36,35,5
27,27,40,32
19,7,38,49
12,22,28,6
18,14,48,32
16,10,28,23
28,4,38,29
6,48,29,45
28,46,12,48
12,16,14,30
19,18,30,27
3,49,6,14
45,44,20,42
23,7,1,21
13,16,22,7
43,12,49,9
50,20,36,30
25,19,19,19
42,14,24,32
32,47,28,16
2,28,31,8
20,16,26,11
5,2,49,34
34,50,15,37
0,39,20,22
3,22,35,49
10,16,32,50
45,30,33,14
22,49,27,29
24,8,1,29
37,49,43,4
21,2,27,20
12,16,0,23
17,1,30,45
35,5,31,40
33,21,18,46
10,13,11,16
1,47,20,42
8,50,47,13
27,24,31,46
47,7,39,8
8,5,22,33
13,22,20,33
39,19,27,36
35,43,9,11
34,31,14,30
36,40,47,19
31,21,0,17
0,33,46,47
45,34,2,30
16,43,39,11
2,2,8,44
42,47,31,14
32,0,5,15
42,21,35,14
45,43,12,23
24,48,15,11
44,42,11,26
21,0,31,22
6,50,6,29
28,6,47,21
30,28,37,12
44,32,33,21
6,34,18,42
18,8,44,35
40,35,3,22
27,5,41,7
20,14,47,48
41,31,11,5
24,32,2,11
11,47,36,13
32,35,2,18
24,7,42,25
49,41,13,24
13,44,11,29
17,48,37,16
40,49,29,23
42,28,26,4
23,15,36,47
40,2,9,29
23,5,21,13
17,31,39,19
38,37,27,20
11,21,8,49
31,12,39,21
33,47,45,46
40,21,11,32
14,48,10,11
20,31,15,3
37,27,19,6
2,19,5,20
19,50,5,44
37,41,16,20
41,19,16,8
26,27,37,23
35,13,45,17
16,33,34,30
24,46,5,19
21,41,14,28
16,17,30,40
41,32,43,39
39,20,33,42
43,19,48,17
46,27,42,24
43,40,33,20
20,0,31,15
47,46,39,0
17,24,50,28
20,35,49,31
34,16,0,5
7,34,37,48
20,48,44,16
6,29,49,13
41,13,26,10
44,18,40,18
5,11,34,48
50,9,41,32
29,11,7,3
6,16,16,16
12,21,16,12
42,34,10,6
16,7,24,42
11,31,21,9
33,7,40,44
19,6,12,42
48,1,33,49
21,33,8,42
47,47,25,0
9,22,7,13
23,46,39,35
20,48,16,4
14,33,46,14
23,3,3,0
49,8,43,19
27,11,20,19
14,42,35,46
21,42,42,20
38,13,15,2
34,36,15,50
27,16,26,8
13,43,47,37
5,5,49,2
18,34,8,23
36,22,19,39
8,47,24,1
13,45,48,35
25,13,31,34
49,27,35,20
50,38,17,3
19,39,31,27
49,18,44,48
39,30,13,9
44,7,4,44
15,34,40,8
3,18,5,43
47,16,31,32
12,42,17,39
24,35,4,7
38,45,19,44
10,27,37,30
10,23,10,20
15,27,18,36
8,48,34,24
44,24,50,27
12,41,8,6
25,26,15,29
14,44,9,8
50,8,8,43
50,26,30,21
41,25,31,23
17,19,24,41
27,22,6,11
42,42,7,31
32,40,9,47
38,9,19,28
9,36,19,42
45,33,4,20
27,21,48,3
16,16,30,0
47,18,11,12
41,17,15,5
47,6,34,43
24,21,39,47
24,36,13,10
47,20,2,40
37,23,5,31
14,14,39,1
33,29,18,49
34,29,12,6
49,7,4,3
21,15,36,20
35,49,18,8
33,35,14,26
48,34,46,10
44,4,6,1
8,30,40,27
11,50,31,0
7,32,40,6
42,47,26,8
30,41,29,49
24,12,8,3
34,46,16,25
0,37,36,8
50,3,37,30
50,34,11,3
44,38,4,18
36,13,35,34
48,10,6,35
22,30,13,8
47,9,38,35
49,13,8,48
47,19,37,37
23,49,9,13
21,43,13,40
39,30,35,35
49,44,40,50
23,39,29,32
3,0,41,13
43,15,22,36
7,27,38,3
12,49,48,20
3,31,40,28
34,14,29,21
28,4,24,28
48,37,36,13
36,8,16,14
11,8,3,14
37,11,50,1
5,5,21,30
50,35,40,14
20,16,5,38
19,29,18,49
37,9,2,44
20,18,21,48
32,40,22,0
11,18,26,25
